Field;ID;Type (Type);default;en-us
Description;2;Text;Gitember is a free, open-source Git GUI client that turns the complexity of Git into a clean, visual experience. Whether you just started using Git or you're managing a large team repository, Gitember gives you a full-featured environment for everything from daily commits to deep code archaeology. Gitember has integration with GitHub, GitLab, Bitbucket and Gitea. Advanced fulltext search across project history, folders and files difference tool. ;Gitember is a free, open-source Git GUI client that turns the complexity of Git into a clean, visual experience. Whether you just started using Git or you're managing a large team repository, Gitember gives you a full-featured environment for everything from daily commits to deep code archaeology. Gitember has integration with GitHub, GitLab, Bitbucket and Gitea. Advanced fulltext search across project history, folders and files difference tool. 
ReleaseNotes;3;Text;New lightweight UI. Improved performance. GitHub, GitLab, Bitbucket, Gitea integration.;New lightweight UI. Improved performance. GitHub, GitLab, Bitbucket, Gitea integration.
Title;4;Text;Gitember — Git GUI;Gitember — Git GUI
ShortTitle;5;Text;Gitember — Git GUI;Gitember — Git GUI
SortTitle;6;Text;;
VoiceTitle;7;Text;;
ShortDescription;8;Text;Free Git GUI. Visual commit, diff, branch, and pull request review. GitHub, GitLab, Bitbucket & Gitea support. No account needed.;Free Git GUI. Visual commit, diff, branch, and pull request review. GitHub, GitLab, Bitbucket & Gitea support. No account needed.
DevStudio;9;Text;;
CopyrightTrademarkInformation;12;Text;Ihor Azarnyi;Ihor Azarnyi
AdditionalLicenseTerms;13;Text;;
DesktopScreenshot1;100;Relative path (or URL to file in Partner Center);screenshots/gallery150.png;screenshots/gallery150.png
DesktopScreenshot2;101;Relative path (or URL to file in Partner Center);screenshots/gallery151.png;screenshots/gallery151.png
DesktopScreenshot3;102;Relative path (or URL to file in Partner Center);screenshots/gallery152.png;screenshots/gallery152.png
DesktopScreenshot4;103;Relative path (or URL to file in Partner Center);screenshots/gallery153.png;screenshots/gallery153.png
DesktopScreenshot5;104;Relative path (or URL to file in Partner Center);;
DesktopScreenshot6;105;Relative path (or URL to file in Partner Center);;
DesktopScreenshot7;106;Relative path (or URL to file in Partner Center);;
DesktopScreenshot8;107;Relative path (or URL to file in Partner Center);;
DesktopScreenshot9;108;Relative path (or URL to file in Partner Center);;
DesktopScreenshot10;109;Relative path (or URL to file in Partner Center);;
DesktopScreenshot11;110;Relative path (or URL to file in Partner Center);;
DesktopScreenshot12;111;Relative path (or URL to file in Partner Center);;
DesktopScreenshot13;112;Relative path (or URL to file in Partner Center);;
DesktopScreenshot14;113;Relative path (or URL to file in Partner Center);;
DesktopScreenshot15;114;Relative path (or URL to file in Partner Center);;
DesktopScreenshot16;115;Relative path (or URL to file in Partner Center);;
DesktopScreenshot17;116;Relative path (or URL to file in Partner Center);;
DesktopScreenshot18;117;Relative path (or URL to file in Partner Center);;
DesktopScreenshot19;118;Relative path (or URL to file in Partner Center);;
DesktopScreenshot20;119;Relative path (or URL to file in Partner Center);;
DesktopScreenshot21;120;Relative path (or URL to file in Partner Center);;
DesktopScreenshot22;121;Relative path (or URL to file in Partner Center);;
DesktopScreenshot23;122;Relative path (or URL to file in Partner Center);;
DesktopScreenshot24;123;Relative path (or URL to file in Partner Center);;
DesktopScreenshot25;124;Relative path (or URL to file in Partner Center);;
DesktopScreenshot26;125;Relative path (or URL to file in Partner Center);;
DesktopScreenshot27;126;Relative path (or URL to file in Partner Center);;
DesktopScreenshot28;127;Relative path (or URL to file in Partner Center);;
DesktopScreenshot29;128;Relative path (or URL to file in Partner Center);;
DesktopScreenshot30;129;Relative path (or URL to file in Partner Center);;
DesktopScreenshotCaption1;150;Text;Commit history — full repository timeline with visual branch graph;Commit history — full repository timeline with visual branch graph
DesktopScreenshotCaption2;151;Text;Side-by-side diff — compare file versions with syntax-highlighted dual-pane view;Side-by-side diff — compare file versions with syntax-highlighted dual-pane view
DesktopScreenshotCaption3;152;Text;Working copy — stage, unstage, and diff changes before every commit;Working copy — stage, unstage, and diff changes before every commit
DesktopScreenshotCaption4;153;Text;Advenced search - search arcoss project history;Advenced search - search arcoss project history
DesktopScreenshotCaption5;154;Text;;
DesktopScreenshotCaption6;155;Text;;
DesktopScreenshotCaption7;156;Text;;
DesktopScreenshotCaption8;157;Text;;
DesktopScreenshotCaption9;158;Text;;
DesktopScreenshotCaption10;159;Text;;
DesktopScreenshotCaption11;160;Text;;
DesktopScreenshotCaption12;161;Text;;
DesktopScreenshotCaption13;162;Text;;
DesktopScreenshotCaption14;163;Text;;
DesktopScreenshotCaption15;164;Text;;
DesktopScreenshotCaption16;165;Text;;
DesktopScreenshotCaption17;166;Text;;
DesktopScreenshotCaption18;167;Text;;
DesktopScreenshotCaption19;168;Text;;
DesktopScreenshotCaption20;169;Text;;
DesktopScreenshotCaption21;170;Text;;
DesktopScreenshotCaption22;171;Text;;
DesktopScreenshotCaption23;172;Text;;
DesktopScreenshotCaption24;173;Text;;
DesktopScreenshotCaption25;174;Text;;
DesktopScreenshotCaption26;175;Text;;
DesktopScreenshotCaption27;176;Text;;
DesktopScreenshotCaption28;177;Text;;
DesktopScreenshotCaption29;178;Text;;
DesktopScreenshotCaption30;179;Text;;
MobileScreenshot1;200;Relative path (or URL to file in Partner Center);;
MobileScreenshot2;201;Relative path (or URL to file in Partner Center);;
MobileScreenshot3;202;Relative path (or URL to file in Partner Center);;
MobileScreenshot4;203;Relative path (or URL to file in Partner Center);;
MobileScreenshot5;204;Relative path (or URL to file in Partner Center);;
MobileScreenshot6;205;Relative path (or URL to file in Partner Center);;
MobileScreenshot7;206;Relative path (or URL to file in Partner Center);;
MobileScreenshot8;207;Relative path (or URL to file in Partner Center);;
MobileScreenshot9;208;Relative path (or URL to file in Partner Center);;
MobileScreenshot10;209;Relative path (or URL to file in Partner Center);;
MobileScreenshot11;210;Relative path (or URL to file in Partner Center);;
MobileScreenshot12;211;Relative path (or URL to file in Partner Center);;
MobileScreenshot13;212;Relative path (or URL to file in Partner Center);;
MobileScreenshot14;213;Relative path (or URL to file in Partner Center);;
MobileScreenshot15;214;Relative path (or URL to file in Partner Center);;
MobileScreenshot16;215;Relative path (or URL to file in Partner Center);;
MobileScreenshot17;216;Relative path (or URL to file in Partner Center);;
MobileScreenshot18;217;Relative path (or URL to file in Partner Center);;
MobileScreenshot19;218;Relative path (or URL to file in Partner Center);;
MobileScreenshot20;219;Relative path (or URL to file in Partner Center);;
MobileScreenshot21;220;Relative path (or URL to file in Partner Center);;
MobileScreenshot22;221;Relative path (or URL to file in Partner Center);;
MobileScreenshot23;222;Relative path (or URL to file in Partner Center);;
MobileScreenshot24;223;Relative path (or URL to file in Partner Center);;
MobileScreenshot25;224;Relative path (or URL to file in Partner Center);;
MobileScreenshot26;225;Relative path (or URL to file in Partner Center);;
MobileScreenshot27;226;Relative path (or URL to file in Partner Center);;
MobileScreenshot28;227;Relative path (or URL to file in Partner Center);;
MobileScreenshot29;228;Relative path (or URL to file in Partner Center);;
MobileScreenshot30;229;Relative path (or URL to file in Partner Center);;
MobileScreenshotCaption1;250;Text;;
MobileScreenshotCaption2;251;Text;;
MobileScreenshotCaption3;252;Text;;
MobileScreenshotCaption4;253;Text;;
MobileScreenshotCaption5;254;Text;;
MobileScreenshotCaption6;255;Text;;
MobileScreenshotCaption7;256;Text;;
MobileScreenshotCaption8;257;Text;;
MobileScreenshotCaption9;258;Text;;
MobileScreenshotCaption10;259;Text;;
MobileScreenshotCaption11;260;Text;;
MobileScreenshotCaption12;261;Text;;
MobileScreenshotCaption13;262;Text;;
MobileScreenshotCaption14;263;Text;;
MobileScreenshotCaption15;264;Text;;
MobileScreenshotCaption16;265;Text;;
MobileScreenshotCaption17;266;Text;;
MobileScreenshotCaption18;267;Text;;
MobileScreenshotCaption19;268;Text;;
MobileScreenshotCaption20;269;Text;;
MobileScreenshotCaption21;270;Text;;
MobileScreenshotCaption22;271;Text;;
MobileScreenshotCaption23;272;Text;;
MobileScreenshotCaption24;273;Text;;
MobileScreenshotCaption25;274;Text;;
MobileScreenshotCaption26;275;Text;;
MobileScreenshotCaption27;276;Text;;
MobileScreenshotCaption28;277;Text;;
MobileScreenshotCaption29;278;Text;;
MobileScreenshotCaption30;279;Text;;
XboxScreenshot1;300;Relative path (or URL to file in Partner Center);;
XboxScreenshot2;301;Relative path (or URL to file in Partner Center);;
XboxScreenshot3;302;Relative path (or URL to file in Partner Center);;
XboxScreenshot4;303;Relative path (or URL to file in Partner Center);;
XboxScreenshot5;304;Relative path (or URL to file in Partner Center);;
XboxScreenshot6;305;Relative path (or URL to file in Partner Center);;
XboxScreenshot7;306;Relative path (or URL to file in Partner Center);;
XboxScreenshot8;307;Relative path (or URL to file in Partner Center);;
XboxScreenshot9;308;Relative path (or URL to file in Partner Center);;
XboxScreenshot10;309;Relative path (or URL to file in Partner Center);;
XboxScreenshot11;310;Relative path (or URL to file in Partner Center);;
XboxScreenshot12;311;Relative path (or URL to file in Partner Center);;
XboxScreenshot13;312;Relative path (or URL to file in Partner Center);;
XboxScreenshot14;313;Relative path (or URL to file in Partner Center);;
XboxScreenshot15;314;Relative path (or URL to file in Partner Center);;
XboxScreenshot16;315;Relative path (or URL to file in Partner Center);;
XboxScreenshot17;316;Relative path (or URL to file in Partner Center);;
XboxScreenshot18;317;Relative path (or URL to file in Partner Center);;
XboxScreenshot19;318;Relative path (or URL to file in Partner Center);;
XboxScreenshot20;319;Relative path (or URL to file in Partner Center);;
XboxScreenshot21;320;Relative path (or URL to file in Partner Center);;
XboxScreenshot22;321;Relative path (or URL to file in Partner Center);;
XboxScreenshot23;322;Relative path (or URL to file in Partner Center);;
XboxScreenshot24;323;Relative path (or URL to file in Partner Center);;
XboxScreenshot25;324;Relative path (or URL to file in Partner Center);;
XboxScreenshot26;325;Relative path (or URL to file in Partner Center);;
XboxScreenshot27;326;Relative path (or URL to file in Partner Center);;
XboxScreenshot28;327;Relative path (or URL to file in Partner Center);;
XboxScreenshot29;328;Relative path (or URL to file in Partner Center);;
XboxScreenshot30;329;Relative path (or URL to file in Partner Center);;
XboxScreenshotCaption1;350;Text;;
XboxScreenshotCaption2;351;Text;;
XboxScreenshotCaption3;352;Text;;
XboxScreenshotCaption4;353;Text;;
XboxScreenshotCaption5;354;Text;;
XboxScreenshotCaption6;355;Text;;
XboxScreenshotCaption7;356;Text;;
XboxScreenshotCaption8;357;Text;;
XboxScreenshotCaption9;358;Text;;
XboxScreenshotCaption10;359;Text;;
XboxScreenshotCaption11;360;Text;;
XboxScreenshotCaption12;361;Text;;
XboxScreenshotCaption13;362;Text;;
XboxScreenshotCaption14;363;Text;;
XboxScreenshotCaption15;364;Text;;
XboxScreenshotCaption16;365;Text;;
XboxScreenshotCaption17;366;Text;;
XboxScreenshotCaption18;367;Text;;
XboxScreenshotCaption19;368;Text;;
XboxScreenshotCaption20;369;Text;;
XboxScreenshotCaption21;370;Text;;
XboxScreenshotCaption22;371;Text;;
XboxScreenshotCaption23;372;Text;;
XboxScreenshotCaption24;373;Text;;
XboxScreenshotCaption25;374;Text;;
XboxScreenshotCaption26;375;Text;;
XboxScreenshotCaption27;376;Text;;
XboxScreenshotCaption28;377;Text;;
XboxScreenshotCaption29;378;Text;;
XboxScreenshotCaption30;379;Text;;
HolographicScreenshot1;400;Relative path (or URL to file in Partner Center);;
HolographicScreenshot2;401;Relative path (or URL to file in Partner Center);;
HolographicScreenshot3;402;Relative path (or URL to file in Partner Center);;
HolographicScreenshot4;403;Relative path (or URL to file in Partner Center);;
HolographicScreenshot5;404;Relative path (or URL to file in Partner Center);;
HolographicScreenshot6;405;Relative path (or URL to file in Partner Center);;
HolographicScreenshot7;406;Relative path (or URL to file in Partner Center);;
HolographicScreenshot8;407;Relative path (or URL to file in Partner Center);;
HolographicScreenshot9;408;Relative path (or URL to file in Partner Center);;
HolographicScreenshot10;409;Relative path (or URL to file in Partner Center);;
HolographicScreenshot11;410;Relative path (or URL to file in Partner Center);;
HolographicScreenshot12;411;Relative path (or URL to file in Partner Center);;
HolographicScreenshot13;412;Relative path (or URL to file in Partner Center);;
HolographicScreenshot14;413;Relative path (or URL to file in Partner Center);;
HolographicScreenshot15;414;Relative path (or URL to file in Partner Center);;
HolographicScreenshot16;415;Relative path (or URL to file in Partner Center);;
HolographicScreenshot17;416;Relative path (or URL to file in Partner Center);;
HolographicScreenshot18;417;Relative path (or URL to file in Partner Center);;
HolographicScreenshot19;418;Relative path (or URL to file in Partner Center);;
HolographicScreenshot20;419;Relative path (or URL to file in Partner Center);;
HolographicScreenshot21;420;Relative path (or URL to file in Partner Center);;
HolographicScreenshot22;421;Relative path (or URL to file in Partner Center);;
HolographicScreenshot23;422;Relative path (or URL to file in Partner Center);;
